node,name
5696,Vishvamitri Jn. (NG)
5701,Udhna Junction
5752,Bharwari
5755,Illoo
5756,Kotshila Junction
5757,Muri Junction
5760,Begun Kudar
5769,Patranga
5771,Daryabad
5777,Fatehgarh
5789,Chanpatia
5791,Bapudham Motihari
5792,Motihari Court
5794,Melnariyappanur
5805,Motipur
5812,Nariyar
5824,Prinsep Ghat
5827,Baranagar Road
5832,Dum Dum Cantonment
5835,Riga
5840,Bairagnia
5841,Dhang
5843,Kundwa Chainpur
5846,Ghorasahan
5851,Chauradano
5853,Adapur
5857,Begdewadi
5858,Khari
5866,Sangaldan
5869,Sumber
5873,Udhampur
5907,Bajalta
5941,Jogiara
5942,Janakpur Road
5944,Ghogardiha
5945,Rajanagar
5948,Pandaul
5951,Purnia Court
5954,Barhara
5958,Khajauli
5959,Sendurai
5960,Pennadam
5961,Ottakovil
5962,Ichchangadu
5965,Kovilpatti
5966,Sivakasi
5967,Sankarankovil
5968,Aruppukkottai
5969,Pambakovil Shandy
5970,Sattur
5973,Tiruppuvanam
5977,Haliyuru
5978,Kotturu
5983,Ram Dayalu Nagar
6002,Pennathur
6006,Kalangani
6007,Rasipuram
6010,Badlapur
6013,High Court
6020,Kizhapuliyur
6023,Bommidi
6042,Sanjhauli Halt
6043,Nonar Halt
6044,Shaheed Baba Parav Halt
6046,Hasan Bazar
6047,Piro
6049,Bikramganj
6050,Ghusia Halt
6056,Garhani
6057,Charpokhari Halt
6059,Udwant Nagar Halt
6063,Semraon
6067,Ankorha
6068,Panisagar
6083,Tirumani
6091,Hathidah Junction Upper Station
6096,Potheri
6097,Noorsarai
6098,Ambapendarpur Halt
6099,Rahui Road
6102,Sohsarai
6105,Wena
6109,Sadisopur
6110,Patel Halt
6120,Kudalnagar
6121,Raghunathpur Railway Station
6144,Molakalmuru
6147,Melakkonnakkulam
6156,Kamshet
6174,Bagdogra
6175,Hamiltonganj
6176,Hasimara
6184,Bhotpatti
6189,New Baneswar
6190,Alipur Duar Court
6191,Galgalia
6195,Chalsa
6199,Krishnai
6200,Pancharatna
6201,Mohanbari
6204,Nagaon
6205,Ledo
6206,Rupai
6209,Urappakkam
6210,Sukna
6216,Hiller Shahabad
6258,Kattangulathur
6268,Saiyedpur Bhitri
6276,Thawe Junction
6280,Kaptanganj
6284,Sandal Soap Factory
6288,Gandhi Park Halt
6397,Virsad
6402,Kalitalavadi
6403,Nar Town
6415,Kashipura
6432,Demai
6438,Bhankoda
6441,Pakhruli
6443,Siruvattur
6444,Rauzagaon
6446,Hathras City
6450,Aligarh Junction
6452,Gauriganj
6454,Jais
6458,Gursahaiganj
6459,Kannauj
6460,Bhongaon
6461,Sikandra Rao
6472,Unchahar Junction
6488,Barauni Junction
6490,Taal Junction
6491,Teghra
6493,Rampur Dumra
6497,Garhara
6499,Barauni Flag
6502,New Barauni Junction
6505,Peddadinne
6518,Ballari Cantonment
6519,Obalapuram
6524,Hadiyaya
