id,lon,lat
547,78.56184,21.32953
548,78.87616,21.24501
549,79.08660,21.16308
550,79.08921,21.15788
551,79.05151,21.05573
552,77.78453,20.81560
553,77.71712,20.85719
554,79.09495,21.16167
555,79.09159,21.15976
556,79.09530,21.16182
557,79.14653,21.16894
558,79.14814,21.16926
559,79.15833,21.17576
560,79.15873,21.17624
561,76.28679,9.99108
562,76.28861,9.98191
563,76.29917,9.94762
564,76.31160,9.89151
565,76.31141,9.89126
566,76.30505,9.88246
567,78.29029,30.11010
568,78.23132,30.05925
569,78.22106,30.05161
570,78.21993,30.05035
571,74.89887,12.87381
572,74.89898,12.87372
573,74.89913,12.87345
574,78.07562,27.20846
575,78.18033,27.22774
576,78.03809,27.19134
577,78.03026,27.18452
578,78.02247,27.18395
579,78.01546,27.18017
580,78.00992,27.17730
581,78.01043,27.19465
582,78.01153,27.19489
583,78.01867,27.19367
584,78.01912,27.19358
585,78.02009,27.19317
586,78.02954,27.18912
587,77.99681,27.19184
588,77.99188,27.17855
589,77.99190,27.17879
590,77.99213,27.18087
591,77.99219,27.18103
592,77.99116,27.17178
593,77.99119,27.17216
594,77.99160,27.17591
595,77.99077,27.16759
596,77.98999,27.15664
597,77.98936,27.15400
598,77.96175,27.05434
599,77.96267,27.05514
600,77.96162,27.05463
601,77.96246,27.05535
602,77.98410,27.17166
603,77.82901,27.24199
604,77.82916,27.24188
605,80.27569,13.08278
606,80.27475,13.08359
607,75.16728,12.18068
608,75.14790,12.23584
609,75.12160,12.26605
610,75.12078,12.26621
611,75.05835,12.36715
612,75.00146,12.45807
613,74.99711,12.47296
614,74.99621,12.47657
615,74.95490,12.56033
616,74.94362,12.58990
617,74.94024,12.59771
618,77.04415,8.43687
619,77.04205,8.43851
620,76.98397,8.47380
621,76.96232,8.48558
622,76.95820,8.48584
623,76.94787,8.48779
624,79.13293,21.16312
625,79.78731,21.34473
626,79.79174,21.34368
627,80.45992,21.30306
628,81.23527,21.20157
629,81.25345,21.20036
630,81.66830,21.31088
631,81.74029,21.37990
632,81.74332,21.38915
633,81.77249,21.46978
634,79.11685,21.15757
635,76.53575,9.57865
636,76.52387,9.60370
637,76.53564,9.62242
638,76.53534,9.62221
639,76.48679,9.76281
640,76.48720,9.76262
641,76.50643,9.73852
642,76.50733,9.73729
643,76.52373,9.60259
644,76.32480,9.97345
645,76.29708,9.98070
646,76.37469,10.19568
647,76.37795,10.18365
648,76.37213,10.13294
649,76.36214,10.11782
650,76.36086,10.11501
651,76.35995,10.11293
652,76.33921,10.07942
653,76.33247,10.29334
654,76.35658,10.26043
655,76.59503,9.36939
656,76.59464,9.37023
657,76.60737,9.33402
658,76.60692,9.33541
659,76.54484,9.67933
660,76.54639,9.66968
661,76.54629,9.66859
662,76.53730,9.62384
663,86.22555,25.63210
664,75.60487,11.57036
665,75.62638,11.48980
666,75.65451,11.47215
667,78.49496,17.37945
668,78.49506,17.37722
669,78.49502,17.37694
670,78.49165,17.37147
671,78.49145,17.37118
672,78.49232,17.36107
673,78.49227,17.36083
674,78.49118,17.35760
675,78.49112,17.35731
676,78.49057,17.35436
677,78.48259,17.34138
678,78.47707,17.33513
679,78.47135,17.32862
680,78.43325,17.32090
681,78.43311,17.32076
682,78.42700,17.31273
683,78.42390,17.30384
684,78.49483,17.38171
685,78.49479,17.38250
686,78.49480,17.38271
687,78.49556,17.38486
688,78.49567,17.38500
689,78.50376,17.39389
690,78.50479,17.39500
691,78.50913,17.39979
692,78.39484,17.26644
693,78.38023,17.24828
694,76.53218,9.59467
695,75.69899,31.05412
696,75.78006,31.06778
697,77.40890,12.82468
698,77.54471,12.96439
699,77.56684,12.97193
700,77.57007,12.98553
701,77.56871,12.99321
702,77.57016,12.98592
703,77.49652,13.08474
704,77.58709,13.07067
705,77.58855,13.11119
706,77.58628,13.11470
707,80.22032,13.01579
708,80.22078,13.01678
709,77.59685,13.09324
710,77.59729,13.09232
711,80.22514,13.02816
712,80.22515,13.02839
713,78.51282,17.43459
714,78.51280,17.43493
715,78.51423,17.43702
716,78.51086,17.43382
717,78.51054,17.43391
718,78.50742,17.43448
719,78.51191,17.43557
720,78.51223,17.43568
721,78.51945,17.43907
722,78.51179,17.43576
723,78.50583,17.43427
724,76.65519,12.35806
725,76.65393,12.36020
726,76.67222,12.42064
727,76.67797,12.42649
728,76.67720,12.42958
729,76.63024,12.35206
730,76.58869,12.38595
731,76.49605,12.42227
732,78.54710,17.43611
733,78.54730,17.43634
734,75.83737,31.49410
735,77.25561,28.57139
736,77.25458,28.58250
737,77.25040,28.61177
738,77.25137,28.61257
739,77.24915,28.61208
740,76.87684,28.72749
741,77.28074,28.67193
742,77.29997,28.67546
743,78.53886,17.45308
744,78.53523,17.45479
745,78.53228,17.45836
746,78.53303,17.46180
747,78.55026,17.44509
748,88.39092,22.59229
749,88.39094,22.59240
750,88.39169,22.59573
751,88.39178,22.59611
752,88.39294,22.60106
753,88.39332,22.61991
754,88.39298,22.62401
755,88.38504,22.68415
756,88.37458,22.74113
757,88.37159,22.75740
758,88.37005,22.76575
759,88.37419,22.80250
760,88.37428,22.80290
761,88.38019,22.82852
762,88.38137,22.83059
763,88.40558,22.86676
764,88.41765,22.88701
765,88.42106,22.89303
766,88.42474,22.89950
767,88.42883,22.90661
768,88.44481,22.93471
769,88.45013,22.94405
770,88.52944,23.07700
771,88.39506,22.90447
772,88.37747,22.91657
773,88.37879,22.92673
774,88.37916,22.93020
775,88.39530,22.95420
776,88.39528,22.95908
777,88.39738,22.98691
